# Histogram (1-second bins)
bin_start,bin_end,count
0.0,1.0,0
1.0,2.0,0
2.0,3.0,6
3.0,4.0,427
4.0,5.0,2173
5.0,6.0,1078
6.0,7.0,128
7.0,8.0,1043
8.0,9.0,2682
9.0,10.0,2131
10.0,11.0,170
11.0,12.0,35
12.0,13.0,117
13.0,14.0,461
14.0,15.0,253
15.0,16.0,165
16.0,17.0,221
17.0,18.0,115
18.0,19.0,31
19.0,20.0,29
20.0,21.0,19
21.0,22.0,9
22.0,23.0,8
23.0,24.0,4
24.0,25.0,9
25.0,26.0,50
26.0,27.0,143
27.0,28.0,222
28.0,29.0,141
29.0,30.0,47
30.0,31.0,15
31.0,32.0,5
32.0,33.0,0
33.0,34.0,1
34.0,35.0,1
35.0,36.0,0
36.0,37.0,0
37.0,38.0,1
38.0,39.0,0
39.0,40.0,0
40.0,41.0,1
41.0,42.0,1
42.0,43.0,0
43.0,44.0,1
44.0,45.0,2
45.0,46.0,1
46.0,47.0,1
47.0,48.0,1
48.0,49.0,0
49.0,50.0,0
50.0,51.0,2
51.0,52.0,2
52.0,53.0,0

# Percentiles
percentile,value_seconds
10,4.49
25,5.15
50,8.31
75,9.5
90,15.36
95,25.89
99,28.65

# Per-worker Statistics
worker_id,count,mean,median,p90
0,4362,7.71,8.97,9.69
1,4852,6.68,7.83,8.52
2,2738,16.24,14.41,27.76
